,Name,Age,Hometown,Occupation,Outcome,Place,Ref
0,Allison Hollinger[a][11],26,"Dover, Delaware",,Participating,Participating,
1,Autumn Waggoner[12],26,"De Soto, Missouri",,Participating,Participating,
2,Chandler Dewgard[12],24,"Brooklyn, New York",,Participating,Participating,
3,Chrissa Perez[13],26,"Abbotsford, British Columbia",,Participating,Participating,
4,Daisy Kent[14],25,"Becker, Minnesota",,Participating,Participating,
5,Edwina Dorbor[12],25,"Maple Grove, Minnesota",,Participating,Participating,
6,Erika Cardenas[15],25,"North Bergen, New Jersey",,Participating,Participating,
7,Evalin Clark[12],28,"San Antonio, Texas",,Participating,Participating,
8,"Jennifer ""Jenn"" Tran[12]",25,"Hillsdale, New Jersey",,Participating,Participating,
9,Jessica Edwards[12],24,"Erwin, Tennessee",,Participating,Participating,
10,Katelyn DeBacker[12],26,"Santa Fe, New Mexico",,Participating,Participating,
11,Kayla Rodgers[12],27,"Hamilton, Ohio",,Participating,Participating,
12,Kelsey Anderson[12],25,"Leesville, Louisiana",,Participating,Participating,
13,Kelsey Toussant[12],31,"Los Angeles, California",,Participating,Participating,
14,Kyra Brusch[12],26,"Miami, Florida",,Participating,Participating,
15,Lanie Latsios[11],27,"Glen Mills, Pennsylvania",,Participating,Participating,
16,Lauren Hollinger[a][11],28,"Dover, Delaware",,Participating,Participating,
17,Lea Cayanan[4],23,"Aiea, Hawaii",,Participating,Participating,
18,Lexi Young[12],30,"Pataskala, Ohio",,Participating,Participating,
19,Madina Alam[12],31,"Johnstown, New York",,Participating,Participating,
20,Maria Georgas[12],29,"Kleinburg, Ontario",,Participating,Participating,
21,Marlena Haddad[12],26,"Waterbury, Connecticut",,Participating,Participating,
22,Natalie Crepeau[12],25,"Sudbury, Ontario",,Participating,Participating,
23,Rachel Nance[12],26,"Honolulu, Hawaii",,Participating,Participating,
24,Samantha Hale[12],31,"Melville, New York",,Participating,Participating,
25,Samantha Washington[12],25,"Lincoln, Nebraska",,Participating,Participating,
26,Sandra Rabadi[12],26,"Strongsville, Ohio",,Participating,Participating,
27,Starr Skyler[12],25,"Delray Beach, Florida",,Participating,Participating,
28,Sydney Gordon[16],28,"Newport, Rhode Island",,Participating,Participating,
29,Talyah Jackson[12],23,"Huntington Beach, California",,Participating,Participating,
30,Taylor Wiens[12],23,"Olathe, Kansas",,Participating,Participating,
31,Zoe Antona[12],24,"Roswell, Georgia",,Participating,Participating,
