occupation,job_category
Accountant,Business
Accountant,Business
Accountant,Business
Administrative assistant,Business
Administrative Assistant,Business
Administrative Assistant,Business
Administrative Assistant,Business
Administrative Assistant,Business
Airline Recruiter,Business
Airline Supervisor,Business
Assistant,Business
Assistant Financial Advisor,Business
Assistant Program Manager,Business
Bank Marketing Manager,Business
Bank Representative,Business
Boutique owner,Business
Business Owner,Business
Business Owner,Business
Business Owner,Business
Charity Accountant,Business
Client Financial Manager,Business
Community Organizer,Business
Corporate Recruiter,Business
E-Commerce Coordinator,Business
Entrepreneur,Business
Entrepreneur,Business
Entrepreneur,Business
Entrepreneur,Business
Executive assistant,Business
Executive Assistant,Business
Executive Assistant,Business
Executive Assistant,Business
Executive Assistant,Business
Executive coordinator,Business
Executive Recruiter,Business
Executive Recruiter,Business
Executive Recruiter,Business
Executive Recruiter,Business
Fashion Boutique Owner,Business
Financial Advisor,Business
Financial Advisor,Business
Financial analyst,Business
Financial analyst,Business
Financial Associate,Business
Financial Management Consultant,Business
Food Truck Owner,Business
Funeral Director,Business
Hedge fund analyst,Business
Human Resources Recruiter,Business
Human Resources Specialist,Business
Human Resources Specialist,Business
Internet Entrepreneur,Business
Mortgage Loan Officer,Business
Nonprofit Case Manager,Business
Nonprofit Director,Business
Office Manager,Business
Operations Manager,Business
Organ donor coordinator,Business
Personal Banker,Business
Plastic Surgery Office Manager,Business
Policy advisor,Business
Political Consultant,Business
Project analyst,Business
Project Manager,Business
Project Manager,Business
Property Manager,Business
Publications Quality Control,Business
Publishing sales executive,Business
Recruiter,Business
Recruiter,Business
Retail Manager,Business
Retail Manager,Business
Retail Manager,Business
Retail Manager,Business
Small Business Owner,Business
Small Business Owner,Business
Strategic Planning Analyst,Business
Tech Recruiter,Business
Trading Clerk,Business
Wealth Management Advisor,Business
Architect Designer,Business
Beer chemist,Business
Commercial Pilot,Business
Flight Instructor,Business
Gerontologist,Business
IT Consultant,Business
IT Risk Consultant,Business
Mineral Coordinator,Business
Technology Specialist,Business
1st Grade Teacher,Education
3rd Grade Teacher,Education
6th Grade Teacher,Education
Ballet Teacher,Education
Biology teacher,Education
College Admissions,Education
Dance Instructor,Education
Dance Teacher,Education
Elementary School Teacher,Education
First Grade Teacher,Education
First Grade Teacher,Education
Foster Parent Recruiter,Education
Fourth Grade Teacher,Education
Grade School Teacher,Education
Grade School Teacher,Education
Guidance Counselor,Education
High School Soccer Coach,Education
High School Teacher,Education
Kindergarten Teacher,Education
Lacrosse Coach,Education
Math Teacher,Education
Mental Health Counselor,Education
School Psychologist,Education
Science Educator,Education
Social Worker,Education
Social Worker,Education
Social Worker,Education
Special Ed. Teacher,Education
Special Education Teacher,Education
Special Education Teacher,Education
Speech Pathologist,Education
Substitute Teacher,Education
Teacher,Education
Teacher,Education
Teacher,Education
Teacher,Education
Teacher,Education
Teacher,Education
Teacher,Education
Teacher,Education
Youth minister,Education
Creative Director,Entertainment
Fashion Buyer,Entertainment
Fashion designer,Entertainment
Fashion Designer,Entertainment
Fashion Entrepreneur,Entertainment
Fashion Marketer,Entertainment
Fashion PR Manager,Entertainment
Actress,Entertainment
Actress,Entertainment
Actress,Entertainment
Actress,Entertainment
Actress,Entertainment
Artist,Entertainment
Bar Mitzvah Dancer,Entertainment
Blogger,Entertainment
Broadcast Journalist,Entertainment
Broadcast Journalist,Entertainment
Children's book author,Entertainment
Commercial Casting Associate,Entertainment
Content Creator,Entertainment
Content Creator,Entertainment
