,occupation
0,Event Planner
1,Miami Heat Dancer
2,Financial Management Consultant
3,Nanny
4,Graduate Student
5,Attorney
6,Actress
7,Commercial Real Estate Agent
8,Special Ed. Teacher
9,Production Coordinator
10,Hooters Waitress
11,Actress
12,Power Tool Sales Rep.
13,Photographer
14,Graduate Student
15,Business Development Director
16,Neuropsychologist
17,Doctor
18,Bar Manager
19,Retail Manager
20,Advertising Executive
21,Attorney
22,Insurance Representative
23,6th Grade Teacher
24,Technology Specialist
25,Teacher
26,Publicist
27,Marketing manager
28,Student
29,Realtor
30,Teacher
31,Attorney
32,Ultrasound technician
33,Event planner
34,Realtor
35,Interior designer
36,Journalist
37,Model
38,Hotel concierge
39,Beer chemist
40,Attorney
41,Restaurateur
43,Physician
44,Registered nurse
45,Assistant buyer
46,Dolphin trainer
47,Attorney
48,Broadcast marketer
49,Policy advisor
50,Make-up artist
51,Realtor
52,Social Worker
53,Assistant
54,Graphic Designer
55,Teacher
56,Project Manager
57,Medical student
58,Boutique owner
59,Sales Manager
60,Organ donor coordinator
61,Financial analyst
62,Financial analyst
63,Sorority recruiter
64,Attorney
65,Boutique manager
66,Medical equipment sales rep
67,Radio sales
68,Waitress
69,Former Miss Illinois
70,Attorney
71,Executive coordinator
72,Health care manager
73,Hedge fund analyst
74,Attorney
75,Student
76,Real estate sales/development
77,Realtor
78,Phoenix Suns Cheerleader
79,Realtor
80,Internet marketing executive
81,Registered nurse
82,Acupuncturist
83,Account manager
84,Executive assistant
85,Boutique sales worker
86,Model
87,Bar manager
88,Esthetician
89,Publishing sales executive
90,Nanny
91,Realtor
92,News anchor
93,Law student
94,Realtor
95,Biology teacher
96,Event planner
97,Graduate student
98,Law student
99,Account representative
100,Emergency room nurse
101,Project analyst
102,Actress
103,Pharmaceutical sales rep.
104,Account Executive
105,Photographer
106,Fashion designer
107,Advertising coordinator
108,Singer-songwriter
109,Medical sales representative
110,Children's book author
111,Nanny
112,Vendor
113,Personal trainer
114,Church marketing rep.
115,Event planner
116,Administrative assistant
117,Biology student
118,Law student
119,Attorney and former White House aide
120,Make-up artist
121,Youth minister
122,Interior designer
123,Attorney
124,Graduate student
125,Cocktail waitress
126,Real estate marketing rep.
127,Sales Representative
128,Department Store Buyer
129,Interior Designer
130,Flight Attendant
131,Medical Marketing Representative
132,Teacher
133,Lacrosse Coach
134,Dental Hygienist
135,Administrative Assistant
136,Account Executive
137,Account Executive
138,Human Resources Recruiter
139,Medical Student
140,Teacher
141,Public Relations Associate
142,Flight Attendant
143,Medical Sales Representative
144,Casino Marketing Representative
145,Wedding Coordinator
146,Teacher
147,Menswear Buyer
148,Jewelry Designer
149,Account Executive
150,Charity Accountant
151,Nurse Practitioner
152,Marketing Representative
153,College Admissions
154,Swimsuit Model
155,Advertising Account Manager
156,Wardrobe Consultant
157,Account Manager
158,Cosmetic Sales Manager
159,Corporate Flight Attendant
160,Hair Stylist
161,Nanny
162,Homemaker
163,Office Manager
164,Teacher
165,Restaurant Manager
166,Model/Make-Up Artist
167,Entrepreneur
168,Spokesmodel
169,Mortgage Loan Officer
170,"Captain, Air National Guard"
171,Fit Model
172,NBA Dancer
173,Waitress
174,Commercial Pilot
175,Dance Teacher
176,Medical Technician
177,Children's Hospital Event Planner
178,Executive Assistant
179,Dental Student
180,Funeral Director
181,Hairstylist
182,Food Writer
183,Artist
184,Apparel Merchant
185,Marketing Coordinator
186,Sports Publicist
187,Nanny
188,First Grade Teacher
189,Fashion Marketer
190,Bartender
191,Marketing Coordinator
192,Real Estate Broker
193,Model
194,Radio City Rockette
195,Waitress
196,Manscaper
197,Paralegal
198,Attorney
199,Operations Manager
200,Sales Director
201,Insurance Agent
202,High School Teacher
203,Sales Consultant
204,Esthetician
205,Nanny
206,Musical Theatre Performer
207,Model
208,Business Development Manager
209,Dental Hygienist
210,Administrative Assistant
211,PhD Student
212,Fashion Sales Representative
213,Registered Nurse
214,Trading Clerk
